semana,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
clean_jerk_1_rep,5,5,4,4,4,3,3,3,3,3,3,1,2,1,1
clean_jerk_2_rep,4,4,4,3,3,3,3,3,3,3,2,1,1,1,1
clean_jerk_3_rep,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1
clean_jerk_4_rep,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1
press_militar_rep,7,7,5,6,4,5,3,4,5,2,3,1,2,1,1
glute_bridge_rep,7,7,5,6,4,5,3,4,5,2,3,1,2,1,1
pull_up_1_rep,8,6,4,5,3,4,2,3,1,2,2,2,2,1,1
pull_up_2_rep,7,5,3,4,3,3,2,2,1,1,2,1,2,1,1
pull_up_3_rep,6,4,3,3,2,3,1,2,1,1,1,1,1,1,1
pull_up_3_rep,5,4,2,3,2,2,1,1,1,1,1,1,1,1,1
press_banca_rep,7,7,5,6,4,5,3,4,5,2,3,1,2,1,1
deadlift_1_rep,4,4,4,4,4,4,4,4,4,4,3,1,2,1,1
deadlift_2_rep,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1
deadlift_3_rep,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
deadlift_4_rep,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
