Porcentajes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
roller_b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snatch_1,0.68,0.68,0.77,0.77,0.77,0.81,0.81,0.81,0.81,0.81,0.81,0.84,0.84,0.90,0.90
snatch_2,0.74,0.74,0.77,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.86,0.90,0.90,0.94,0.94
snatch_3,0.77,0.77,0.84,0.87,0.87,0.87,0.90,0.90,0.94,0.94,0.94,0.97,0.97,0.97,0.97
snatch_4,0.81,0.84,0.90,0.90,0.94,0.94,0.94,0.97,0.97,0.97,1.00,1.00,1.00,1.00,1.03
deadlift_1,0.77,0.77,0.79,0.79,0.79,0.80,0.01,0.80,0.80,0.80,0.83,0.83,0.83,0.87,0.87
deadlift_2,0.80,0.82,0.81,0.81,0.81,0.83,0.83,0.83,0.85,0.85,0.86,0.90,0.90,0.93,0.93
deadlift_3,0.83,0.83,0.85,0.84,0.84,0.86,0.86,0.87,0.89,0.89,0.89,0.99,0.99,0.99,0.99
deadlift_4,0.86,0.86,0.87,0.87,0.89,0.89,0.90,0.90,0.92,0.92,0.92,1.00,1.00,1.00,1.03
pull_up,0.09,0.18,0.27,0.27,0.36,0.36,0.45,0.45,0.54,0.54,0.62,0.62,0.62,0.72,0.72
