semana,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
roller_b,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4
snatch_1_rep,5,5,4,4,4,3,3,3,3,3,3,1,2,1,1
snatch_2_rep,4,4,4,3,3,3,3,3,3,3,2,1,1,1,1
snatch_3_rep,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1
snatch_4_rep,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1
muscle_up_1,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3
muscle_up_2,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3
muscle_up_3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
muscle_up_4,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
deadlift_1_rep,4,4,4,4,4,4,4,4,4,4,3,1,2,1,1
deadlift_2_rep,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1
deadlift_3_rep,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
deadlift_4_rep,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pull_up_1_rep,8,6,4,5,3,4,2,3,1,2,2,2,2,1,1
pull_up_2_rep,7,5,3,4,3,3,2,2,1,1,2,1,2,1,1
pull_up_3_rep,6,4,3,3,2,3,1,2,1,1,1,1,1,1,1
pull_up_3_rep,5,4,2,3,2,2,1,1,1,1,1,1,1,1,1

