fecha,19/1/23,23/1/23,25/1/23,27/1/23,3/2/23,5/2/23,9/2/23,11/3/23,16/2/23,20/2/23,23/2/23,27/2/23,2/3/23,6/3/23,9/3/23,13/3/23,16/3/23,20/3/23,23/3/23
clean_jerk1,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,
clean_jerk2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,
clean_jerk3,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,
clean_jerk4,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,
press_banca,75,75,75,75,82.5,82.5,82.5,82.5,87.5,87.5,87.5,87.5,87.5,95,95,95,95,95,95,
rep_press_banca,7,7,8,8,5,5,6,6,4,4,5,5,5,3,3,4,5,5,5,
sentadillas,77.5,77.5,77.5,77.5,85,85,85,85,92.5,92.5,92.5,92.5,92.5,100,100,100,100,100,100,
rep_sentadillas,7,7,8,8,5,5,6,6,4,4,5,5,5,3,3,4,5,5,5,
hspu,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,
hspu_hight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
glute_bridge,90,90,90,90,100,100,100,100,110,110,110,110,110,120,120,120,120,120,120,
rep_glute_bridge,7,7,8,8,5,5,6,6,4,4,5,5,5,3,3,4,5,5,5,
roller,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
press_militar,47.5,47.5,47.5,47.5,52.5,52.5,52.5,52.5,57.5,57.5,57.5,57.5,57.5,62.5,62.5,65.5,62.5,62.5,62.5,
rep_press_militar,7,7,8,8,5,5,6,6,4,4,5,5,5,3,3,4,5,5,5,
l_sit,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,
