fecha,24/2/23,1/3/23,3/3/23,7/3/23,10/3/23,14/3/23,17/3/23,21/3/23,24/3/23,28/3/23,31/3/23,
snatch1,50,50,50,50,50,50,55,55,57.5,57.5,57.5,
snatch1_rep,5,5,5,5,5,5,4,4,4,4,4,
snatch2,55,55,55,55,55,55,57.5,57.5,62.5,62.5,62.5,
snatch2_rep,4,4,4,4,4,4,4,4,3,3,3,
snatch3,57.5,57.5,57.5,57.5,57.5,57.5,62.5,62.5,65,65,65,
snatch3_rep,4,4,4,4,4,4,4,3,3,2,2,2,
snatch4,60,60,60,62.5,62.5,62.5,65,65,67.5,67.5,67.5,
snatch4_rep,3,3,3,3,3,3,2,2,2,2,2,
muscle_up1,6,6,6,6,6,6,6,6,6,6,6,
muscle_up2,5,5,5,5,5,5,5,5,6,6,6,
muscle_up3,5,5,5,5,5,5,5,5,5,5,5,
muscle_up4,4,4,4,4,4,4,4,4,4,4,4,
deadlift1,135,135,135,135,135,135,137.5,137.5,137.5,137.5,137.5,
deadlift1_rep,4,4,4,4,4,4,4,4,4,4,4,
deadlift2,140,140,140,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,
deadlift2_rep,3,3,3,3,3,3,3,3,3,3,3,
deadlift3,145,145,145,145,145,145,145,145,147.5,147.5,147.5,
deadlift3_rep,2,2,2,2,2,2,2,2,2,2,2,2,2,
deadlift4,150,150,150,150,150,150,152.5,152.5,152.5,152.5,152.5,
deadlift4_rep,1,1,1,1,1,1,1,1,1,1,1,
pull_up_weight,5,5,5,10,10,10,15,15,15,15,15,
pull_up1_rep,8,8,8,6,6,6,4,4,5,5,5,
pull_up2_rep,7,7,7,5,5,5,3,3,4,4,4,
pull_up3_rep,6,6,6,4,4,4,3,3,3,3,3,
pull_up4_rep,5,5,5,4,4,4,2,2,3,3,3,
curl_nordico,8,8,8,9,9,9,9,9,9,9,9,
dead_bugs,7,7,7,8,8,8,8,8,9,9,9,
remo,75,75,75,75,75,75,80,80,80,80,
remo_rep,5,5,5,6,6,6,4,4,5,5,5,
press_pallof,7,7,7,7,7,7,8,8,8,8,8,
