archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
kf_25_obs_20_freq_300_var_pst.pkl,kf,20,300,pst,0.0827098569242067,0.040381057414772,0.2637283560939655,0.12893975681098138,0.13889098167419434
kf_25_obs_5_freq_300_var_s.pkl,kf,5,300,s,0.08803777548099485,0.04037855691873725,0.2637284576305942,0.13071493001010878,0.005879402160644531
nudging_25_obs_5_freq_300_var_pt.pkl,nudging,5,300,pt,0.07169327605368853,0.040703357932083344,0.26372881078112553,0.12537514825563248,0.0038661956787109375
4dvar_25_obs_10_freq_300_var_pst.pkl,4dvar,10,300,pst,0.06708985616046846,0.04037855691873725,0.2637284576213507,0.1237322902335188,21.92611265182495
enkf_25_obs_20_freq_70_var_pt.pkl,enkf,20,70,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.023975849151611328
nudging_25_obs_10_freq_300_var_t.pkl,nudging,10,300,t,0.07078694456108352,0.04037855691873725,0.2637284576213507,0.12496465303372384,0.0030379295349121094
kf_25_obs_5_freq_150_var_pst.pkl,kf,5,150,pst,0.08766390166282181,0.040378728975528806,0.26372845632035957,0.13059036231957008,0.007215261459350586
enkf_25_obs_10_freq_300_var_st.pkl,enkf,10,300,st,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.044753074645996094
enkf_25_obs_10_freq_150_var_ps.pkl,enkf,10,150,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.0283963680267334
enkf_25_obs_20_freq_300_var_pt.pkl,enkf,20,300,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.0958099365234375
nudging_25_obs_10_freq_150_var_pst.pkl,nudging,10,150,pst,0.0705726968068433,0.04085807406776253,0.2637299288267867,0.12505356656713085,0.0036385059356689453
kf_25_obs_5_freq_300_var_p.pkl,kf,5,300,p,0.0880375849556354,0.04037890088601851,0.26372845500557307,0.130714980282409,0.005892276763916016
4dvar_25_obs_20_freq_150_var_st.pkl,4dvar,20,150,st,0.06905558819187603,0.04037855691873725,0.2637284576213507,0.124387534243988,22.071376085281372
4dvar_25_obs_20_freq_70_var_pst.pkl,4dvar,20,70,pst,0.0692552842029607,0.04037855691873725,0.2637284576213507,0.12445409958101622,21.957589387893677
enkf_25_obs_5_freq_70_var_ps.pkl,enkf,5,70,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.012343883514404297
nudging_25_obs_20_freq_300_var_t.pkl,nudging,20,300,t,0.06797469815930547,0.04037855691873725,0.2637284576213507,0.12402723756646448,0.003915548324584961
enkf_25_obs_10_freq_70_var_pt.pkl,enkf,10,70,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.014050483703613281
4dvar_25_obs_20_freq_300_var_ps.pkl,4dvar,20,300,ps,0.0633037758672231,0.04037855691873725,0.2637284576213507,0.12247026346910368,28.648292541503906
4dvar_25_obs_10_freq_150_var_pt.pkl,4dvar,10,150,pt,0.07134737599190225,0.04037855691873725,0.2637284576213507,0.1251514635106634,24.44684672355652
enkf_25_obs_10_freq_300_var_pst.pkl,enkf,10,300,pst,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.07205772399902344
nudging_25_obs_5_freq_70_var_ps.pkl,nudging,5,70,ps,0.08800750609467776,0.04045820357960428,0.263728024444136,0.13073124470613937,0.001329660415649414
enkf_25_obs_20_freq_300_var_ps.pkl,enkf,20,300,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.09573531150817871
nudging_25_obs_5_freq_150_var_st.pkl,nudging,5,150,st,0.07169564575919406,0.04037855691873725,0.26372846543921336,0.12526755603904824,0.002178668975830078
kf_25_obs_20_freq_70_var_st.pkl,kf,20,70,st,0.08672405146330314,0.04037855691873725,0.26372845763479674,0.1302770220056124,0.018111705780029297
nudging_25_obs_5_freq_70_var_pst.pkl,nudging,5,70,pst,0.07153990403552955,0.04045837308700965,0.26372802117810873,0.12524209943354933,0.0015902519226074219
enkf_25_obs_10_freq_150_var_pst.pkl,enkf,10,150,pst,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.03614640235900879
enkf_25_obs_10_freq_150_var_pt.pkl,enkf,10,150,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.027992725372314453
nudging_25_obs_20_freq_300_var_p.pkl,nudging,20,300,p,0.08804876242345552,0.04239052291396782,0.26367367228634825,0.13137098587459053,0.0038738250732421875
nudging_25_obs_10_freq_300_var_s.pkl,nudging,10,300,s,0.08803777548099485,0.04037855691873725,0.26372847329372484,0.13071493523115232,0.0031456947326660156
enkf_25_obs_20_freq_70_var_ps.pkl,enkf,20,70,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.025861740112304688
kf_25_obs_5_freq_300_var_t.pkl,kf,5,300,t,0.08732324865429421,0.04037855691873725,0.2637284576213507,0.1304767543981274,0.011170387268066406
