archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_vel,rmse_total,tiempo
kf_25_obs_20_freq_300_var_pst.pkl,kf,20,300,pst,0.11303413641483996,0.04867033753804754,0.12351529562495635,0.12972156178592406,0.5237779836194353,0.33297178193934795,0.15454788787929796,0.09061789512634277
kf_25_obs_5_freq_300_var_s.pkl,kf,5,300,s,0.09731488045619946,0.04160905355853481,0.12299691712325182,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12459635404711583,0.0056874752044677734
nudging_25_obs_5_freq_300_var_pt.pkl,nudging,5,300,pt,0.1117832784141985,0.04193266374844076,0.12298452930997415,0.1331925716414693,0.2472460870508347,0.2359542224703577,0.12816367348574276,0.00413966178894043
4dvar_25_obs_10_freq_300_var_pst.pkl,4dvar,10,300,pst,0.11482735178387285,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12897447709131216,27.186723232269287
enkf_25_obs_20_freq_70_var_pt.pkl,enkf,20,70,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.025910139083862305
nudging_25_obs_10_freq_300_var_t.pkl,nudging,10,300,t,0.11982854938397035,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13022477649133654,0.0034580230712890625
kf_25_obs_5_freq_150_var_pst.pkl,kf,5,150,pst,0.10599995839975278,0.043027417928012165,0.12297576587235413,0.13122460532282684,0.515438427155395,0.2949598987571045,0.14174076023930587,0.008056879043579102
enkf_25_obs_10_freq_300_var_st.pkl,enkf,10,300,st,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.05156898498535156
enkf_25_obs_20_freq_300_var_pt.pkl,enkf,20,300,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.09881901741027832
nudging_25_obs_10_freq_150_var_pst.pkl,nudging,10,150,pst,0.11974548129642243,0.04208676551468454,0.12297395896545303,0.13317249024868497,0.11801654999237683,0.2358022036456102,0.13015210235554256,0.0034897327423095703
kf_25_obs_5_freq_300_var_p.pkl,kf,5,300,p,0.1006889996199206,0.04368926575877259,0.12299551603559615,0.12915655890572666,0.5571854006742919,0.35489560587952185,0.1555673468234528,0.00709843635559082
4dvar_25_obs_20_freq_150_var_st.pkl,4dvar,20,150,st,0.11557953923354099,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1291625239537292,68.07775902748108
4dvar_25_obs_20_freq_70_var_pst.pkl,4dvar,20,70,pst,0.11283216875922955,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12847568133515136,26.637622594833374
nudging_25_obs_20_freq_300_var_t.pkl,nudging,20,300,t,0.12001450500492705,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13027126539657571,0.003659963607788086
enkf_25_obs_10_freq_70_var_pt.pkl,enkf,10,70,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.01539921760559082
4dvar_25_obs_10_freq_150_var_pt.pkl,4dvar,10,150,pt,0.12061688280039064,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13042185984544163,31.15265965461731
enkf_25_obs_10_freq_300_var_pst.pkl,enkf,10,300,pst,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.06403541564941406
nudging_25_obs_5_freq_150_var_st.pkl,nudging,5,150,st,0.1115824069077625,0.04160905355853481,0.12299693652337709,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1281632405100379,0.0034284591674804688
kf_25_obs_20_freq_70_var_st.pkl,kf,20,70,st,0.11049373571794313,0.04160905355853481,0.12299681162003813,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12789104148674835,0.07215476036071777
nudging_25_obs_5_freq_70_var_pst.pkl,nudging,5,70,pst,0.10932122376131644,0.041688717078437874,0.12299348922348836,0.1336666094533758,0.07014837319336344,0.23635791468820597,0.12759033618786217,0.001577138900756836
enkf_25_obs_10_freq_150_var_pst.pkl,enkf,10,150,pst,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.11475896835327148
enkf_25_obs_10_freq_150_var_pt.pkl,enkf,10,150,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.03125953674316406
nudging_25_obs_20_freq_300_var_p.pkl,nudging,20,300,p,0.0968313896139265,0.04361385896790429,0.12302853496873768,0.13198715052656346,0.3210925258413943,0.23376173283456775,0.12430887909628405,0.004111528396606445
nudging_25_obs_10_freq_300_var_s.pkl,nudging,10,300,s,0.09731488045619946,0.04160905355853481,0.12299692291358931,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1245963554947002,0.0028815269470214844
kf_25_obs_5_freq_300_var_t.pkl,kf,5,300,t,0.10630049233498394,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12684276222908994,0.010454177856445312
4dvar_25_obs_10_freq_70_var_st.pkl,4dvar,10,70,st,0.11899084861669387,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1300153512995174,27.161790132522583
enkf_25_obs_20_freq_150_var_st.pkl,enkf,20,150,st,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.03919553756713867
enkf_25_obs_20_freq_70_var_pst.pkl,enkf,20,70,pst,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.029123783111572266
4dvar_25_obs_20_freq_70_var_st.pkl,4dvar,20,70,st,0.11283216875922955,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12847568133515136,28.89195704460144
nudging_25_obs_5_freq_70_var_pt.pkl,nudging,5,70,pt,0.10932122376131644,0.041688717078437874,0.122993488343387,0.1336666094533758,0.07014837319336344,0.23635791468820597,0.1275903359678368,0.001092672348022461
4dvar_25_obs_5_freq_70_var_st.pkl,4dvar,5,70,st,0.10549386148022857,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12664110451540112,31.392051458358765
4dvar_25_obs_20_freq_300_var_pt.pkl,4dvar,20,300,pt,0.11180291663306122,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12821836830360928,29.04546046257019
enkf_25_obs_5_freq_70_var_pt.pkl,enkf,5,70,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.008231878280639648
nudging_25_obs_20_freq_300_var_s.pkl,nudging,20,300,s,0.09731488045619946,0.04160905355853481,0.12299692062290543,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12459635492202924,0.004958152770996094
nudging_25_obs_10_freq_300_var_pst.pkl,nudging,10,300,pst,0.1197615512383349,0.04250538656336486,0.12295700523106645,0.13263093939521228,0.25294324207936586,0.23509886201429547,0.1300807012617654,0.006722688674926758
kf_25_obs_20_freq_150_var_pst.pkl,kf,20,150,pst,0.11064472783806666,0.047329335595659924,0.12331011882845014,0.1298900263611485,0.5042310037955563,0.28947226357938555,0.14268911146039057,0.05863761901855469
nudging_25_obs_10_freq_300_var_p.pkl,nudging,10,300,p,0.09697913912785269,0.04250538656336486,0.12295702024475037,0.13263093939521228,0.25294324207936586,0.23509886201429547,0.12438510198756585,0.0031223297119140625
4dvar_25_obs_10_freq_150_var_pst.pkl,4dvar,10,150,pst,0.12061688280039064,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13042185984544163,64.35966157913208
4dvar_25_obs_10_freq_300_var_st.pkl,4dvar,10,300,st,0.11482735178387285,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12897447709131216,29.850345134735107
kf_25_obs_5_freq_300_var_pst.pkl,kf,5,300,pst,0.11669941060913731,0.04368926575877259,0.12299549573301195,0.12915655890572666,0.5571854006742919,0.35489560587952185,0.15956994449511092,0.014189004898071289
