archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
4dvar_25x25_obs_20_freq_150_var_s.pkl,4dvar,20,150,s,0.0973670097507644,0.0403785569187372,0.2637284576213507,0.1338246747636174,27.007920026779175
enkf_25x25_obs_20_freq_70_var_t.pkl,enkf,20,70,t,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0127279758453369
4dvar_25x25_obs_5_freq_300_var_pst.pkl,4dvar,5,300,pst,0.1019575235161493,0.0403785569187372,0.2637284576213507,0.1353548460187457,28.81167221069336
4dvar_25x25_obs_5_freq_150_var_s.pkl,4dvar,5,150,s,0.0997164232450402,0.0403785569187372,0.2637284576213507,0.1346078125950427,91.76771640777588
nudging_25x25_obs_20_freq_70_var_pst.pkl,nudging,20,70,pst,0.0918663844493798,0.0409350218447384,0.2637078662487433,0.1321697575142872,0.0029070377349853
nudging_25x25_obs_20_freq_70_var_s.pkl,nudging,20,70,s,0.0880377754809948,0.0403785569187372,0.2637285358644833,0.1307149560880718,0.0011012554168701
enkf_25x25_obs_10_freq_70_var_p.pkl,enkf,10,70,p,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.046931505203247
nudging_25x25_obs_20_freq_150_var_st.pkl,nudging,20,150,st,0.0936072003943089,0.0403785569187372,0.2637286873676281,0.1325714815602248,0.0039405822753906
kf_25x25_obs_10_freq_300_var_s.pkl,kf,10,300,s,0.0880377754809948,0.0403785569187372,0.2637284578178392,0.1307149300725237,0.0262050628662109
4dvar_25x25_obs_10_freq_70_var_s.pkl,4dvar,10,70,s,0.1197616922867131,0.0403785569187372,0.2637284576213507,0.141289568942267,28.760493278503414
4dvar_25x25_obs_5_freq_70_var_t.pkl,4dvar,5,70,t,0.1089722039213204,0.0403785569187372,0.2637284576213507,0.1376930728204694,29.9889075756073
kf_25x25_obs_20_freq_300_var_p.pkl,kf,20,300,p,0.0880361547130471,0.0403810574077466,0.2637283560632849,0.1307151893946929,0.0383901596069335
enkf_25x25_obs_5_freq_150_var_p.pkl,enkf,5,150,p,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0115389823913574
nudging_25x25_obs_20_freq_150_var_t.pkl,nudging,20,150,t,0.0936072003943089,0.0403785569187372,0.2637284576213507,0.1325714049781323,0.0021648406982421
enkf_25x25_obs_5_freq_70_var_p.pkl,enkf,5,70,p,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0051817893981933
nudging_25x25_obs_10_freq_150_var_pt.pkl,nudging,10,150,pt,0.092534858877429,0.040858078833718,0.2637299166666632,0.1323742847926034,0.0028216838836669
kf_25x25_obs_5_freq_70_var_pst.pkl,kf,5,70,pst,0.0880373398145245,0.0403786372272907,0.2637284570257552,0.1307148113558568,0.0042073726654052
kf_25x25_obs_5_freq_150_var_st.pkl,kf,5,150,st,0.0880372385669981,0.0403785569187372,0.2637284576794367,0.1307147510550573,0.0055480003356933
4dvar_25x25_obs_10_freq_150_var_p.pkl,4dvar,10,150,p,0.0976375111502309,0.0403785569187372,0.2637284576213507,0.1339148418967729,27.37614631652832
enkf_25x25_obs_5_freq_150_var_pst.pkl,enkf,5,150,pst,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0210828781127929
4dvar_25x25_obs_20_freq_150_var_pst.pkl,4dvar,20,150,pst,0.0973670097507644,0.0403785569187372,0.2637284576213507,0.1338246747636174,29.423043727874756
enkf_25x25_obs_10_freq_150_var_pst.pkl,enkf,10,150,pst,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0418546199798584
nudging_25x25_obs_5_freq_300_var_st.pkl,nudging,5,300,st,0.0920133990714861,0.0403785569187372,0.2637285553329431,0.1320401704410555,0.0045530796051025
4dvar_25x25_obs_20_freq_150_var_p.pkl,4dvar,20,150,p,0.0973670097507644,0.0403785569187372,0.2637284576213507,0.1338246747636174,28.756381511688232
nudging_25x25_obs_10_freq_70_var_t.pkl,nudging,10,70,t,0.0920248872310196,0.0403785569187372,0.2637284576213507,0.1320439672570358,0.0008027553558349
4dvar_25x25_obs_5_freq_150_var_pt.pkl,4dvar,5,150,pt,0.0997164232450402,0.0403785569187372,0.2637284576213507,0.1346078125950427,29.08068561553955
kf_25x25_obs_5_freq_70_var_st.pkl,kf,5,70,st,0.0880373844585341,0.0403785569187372,0.2637284576391366,0.1307147996721359,0.0031521320343017
kf_25x25_obs_5_freq_150_var_pst.pkl,kf,5,150,pst,0.0880371431500762,0.0403787289745057,0.2637284563707088,0.1307147761650969,0.007080078125
nudging_25x25_obs_10_freq_300_var_pst.pkl,nudging,10,300,pst,0.0955037832816613,0.0412781166924868,0.263735049694108,0.1335056498894187,0.0076956748962402
4dvar_25x25_obs_5_freq_150_var_p.pkl,4dvar,5,150,p,0.0997164232450402,0.0403785569187372,0.2637284576213507,0.1346078125950427,710.7235658168793
nudging_25x25_obs_10_freq_150_var_t.pkl,nudging,10,150,t,0.0927440441998168,0.0403785569187372,0.2637284576213507,0.1322836862466349,0.0016047954559326
nudging_25x25_obs_20_freq_70_var_p.pkl,nudging,20,70,p,0.0877766574970872,0.0409350218447384,0.2637077880165855,0.1308064891194704,0.0011792182922363
enkf_25x25_obs_10_freq_70_var_s.pkl,enkf,10,70,s,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0079250335693359
kf_25x25_obs_10_freq_300_var_p.pkl,kf,10,300,p,0.0880370430019413,0.0403795609015562,0.2637284560831446,0.1307150199955474,0.0080270767211914
4dvar_25x25_obs_10_freq_70_var_p.pkl,4dvar,10,70,p,0.1197616922867131,0.0403785569187372,0.2637284576213507,0.141289568942267,30.01458740234375
enkf_25x25_obs_5_freq_150_var_s.pkl,enkf,5,150,s,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0097544193267822
kf_25x25_obs_20_freq_300_var_s.pkl,kf,20,300,s,0.0880377754809948,0.0403785569187372,0.2637284580183328,0.1307149301393549,0.1779260635375976
kf_25x25_obs_10_freq_150_var_pst.pkl,kf,10,150,pst,0.0880372706827494,0.0403790582861734,0.2637284569246826,0.1307149286312018,0.0310373306274414
enkf_25x25_obs_5_freq_70_var_s.pkl,enkf,5,70,s,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.019045352935791
4dvar_25x25_obs_20_freq_70_var_t.pkl,4dvar,20,70,t,0.1179598926818675,0.0403785569187372,0.2637284576213507,0.1406889690739851,29.260782718658447
4dvar_25x25_obs_10_freq_150_var_s.pkl,4dvar,10,150,s,0.0976375111502309,0.0403785569187372,0.2637284576213507,0.1339148418967729,28.733344793319706
nudging_25x25_obs_5_freq_150_var_t.pkl,nudging,5,150,t,0.0946792884167369,0.0403785569187372,0.2637284576213507,0.132928767652275,0.0013961791992187
nudging_25x25_obs_5_freq_150_var_p.pkl,nudging,5,150,p,0.0880064320554561,0.0405477161064655,0.2637279403044845,0.1307606961554687,0.0015733242034912
4dvar_25x25_obs_20_freq_70_var_p.pkl,4dvar,20,70,p,0.1179598926818675,0.0403785569187372,0.2637284576213507,0.1406889690739851,55.85933184623718
enkf_25x25_obs_10_freq_70_var_st.pkl,enkf,10,70,st,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.013038158416748
nudging_25x25_obs_20_freq_150_var_s.pkl,nudging,20,150,s,0.0880377754809948,0.0403785569187372,0.2637286873676281,0.13071500658912,0.0021138191223144
kf_25x25_obs_10_freq_300_var_pst.pkl,kf,10,300,pst,0.0880345960871782,0.0403795609015562,0.2637284562796331,0.1307142044227892,0.0215139389038085
4dvar_25x25_obs_5_freq_70_var_s.pkl,4dvar,5,70,s,0.1089722039213204,0.0403785569187372,0.2637284576213507,0.1376930728204694,28.888692140579224
