archivo,metodo,variables,n_obs,frecuencia,tiempo,rmse_T,rmse_p,rmse_tau,rmse_total,rmse_total_normalizado
nudging_grid_obs_pt.pkl,nudging,pt,100,70,300,0.059540780339050164,0.053285197659565846,0.29465529426502646,0.1358270907545475,1.03910923368276
kf_grid_obs_t.pkl,kf,t,100,70,300,0.07072599157935779,0.06157879329368993,0.2818258242697948,0.1380435363809475,1.0560655647324326
kf_grid_obs_s.pkl,kf,s,100,70,300,0.10163553982383226,0.06157879329368993,0.2804781974410725,0.14789751018619823,1.1314507851080025
nudging_grid_obs_ps.pkl,nudging,ps,100,70,300,0.10452608857201921,0.053285197659565846,0.2943264396839218,0.15071257530516893,1.1529866962601212
kf_grid_obs_p.pkl,kf,p,100,70,300,0.11178556822563462,0.16919764787089345,0.27728495252964563,0.1860893895420579,1.4236276569669992
kf_grid_obs_st.pkl,kf,st,100,70,300,0.07072599157935779,0.06157879329368993,0.2804781974410725,0.1375943274380401,1.0526290105234386
enkf_grid_obs_ps.pkl,enkf,ps,100,70,300,0.1562541927055425,0.1992954527331741,0.21144640212667004,0.18899868252179552,1.4458844334461245
enkf_grid_obs_t.pkl,enkf,t,100,70,300,0.09808295328205624,0.015918946189253096,0.16851155435477416,0.09417115127536117,0.7204314860398177
enkf_grid_obs_p.pkl,enkf,p,100,70,300,0.15625502112810652,0.19935789319142977,0.21344949989737907,0.18968747140563846,1.4511538306281095
enkf_grid_obs_pt.pkl,enkf,pt,100,70,300,0.09611153812679732,0.19939030458160473,0.21341550130829257,0.16963911467223156,1.297779179915055
enkf_grid_obs_s.pkl,enkf,s,100,70,300,0.1542052117292661,0.01591972532663911,0.1665730250873999,0.11223265404776837,0.8586062360159504
kf_grid_obs_pst.pkl,kf,pst,100,70,300,0.07738395891948632,0.16919764787089345,0.27597432827088714,0.17418531168708898,1.3325586577794235
enkf_grid_obs_st.pkl,enkf,st,100,70,300,0.09667050033713757,0.015902719870877303,0.16655647203171592,0.09304323074657694,0.7118026283516411
nudging_grid_obs_pst.pkl,nudging,pst,100,70,300,0.059540780339050164,0.053285197659565846,0.2943264396839218,0.13571747256084596,1.0382706286841394
nudging_grid_obs_s.pkl,nudging,s,100,70,300,0.10163553982383226,0.06157879329368993,0.2814707528138116,0.14822836197711128,1.1339818792292737
kf_grid_obs_pt.pkl,kf,pt,100,70,300,0.07738395891948632,0.16919764787089345,0.27728495252964563,0.17462218644000846,1.3359008525301148
nudging_grid_obs_p.pkl,nudging,p,100,70,300,0.10452608857201921,0.053285197659565846,0.29465529426502646,0.1508221934988705,1.1538253012587423
kf_grid_obs_ps.pkl,kf,ps,100,70,300,0.11178556822563462,0.16919764787089345,0.27597432827088714,0.18565251478913844,1.4202854622163084
nudging_grid_obs_t.pkl,nudging,t,100,70,300,0.05692995014633809,0.06157879329368993,0.2818258242697948,0.13344485590327426,1.0208845760168446
enkf_grid_obs_pst.pkl,enkf,pst,100,70,300,0.09837535842205107,0.19928247519133432,0.21163412089130026,0.16976398483489522,1.2987344660683142
nudging_grid_obs_st.pkl,nudging,st,100,70,300,0.05692995014633809,0.06157879329368993,0.2814707528138116,0.1333264987512799,1.0199791159291216
