archivo,metodo,res,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_total_normalizado,tiempo
kf_25_obs_20_freq_300_var_pst.pkl,kf,25,20,300,pst,0.08888194442300552,514.14249321591,2.7449008783310798,0.5529539151279299,0.15305490028603053,276.7634384338133,0.23344182968139648
kf_25_obs_5_freq_300_var_s.pkl,kf,25,5,300,s,0.09039612290839541,522.1458244278508,2.7239357491333624,0.563941853357432,0.06406634283392976,278.63228964258906,0.005701303482055664
nudging_25_obs_5_freq_300_var_pt.pkl,nudging,25,5,300,pt,0.09032069670738507,521.9368569265721,2.7249899296245585,0.5620579073553099,0.06429283436544855,278.59343042532447,0.003933906555175781
4dvar_25_obs_10_freq_300_var_pst.pkl,4dvar,25,10,300,pst,0.08974100419508754,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63047188076456,28.788826942443848
enkf_25_obs_20_freq_70_var_pt.pkl,enkf,25,20,70,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.02701568603515625
nudging_25_obs_10_freq_300_var_t.pkl,nudging,25,10,300,t,0.08974596244332918,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63048563648124,0.0030510425567626953
kf_25_obs_5_freq_150_var_pst.pkl,kf,25,5,150,pst,0.09007113307604055,521.1586724437077,2.729677253772715,0.5561006005263508,0.07605147749409358,278.5090296855493,0.011224985122680664
enkf_25_obs_10_freq_300_var_st.pkl,enkf,25,10,300,st,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.04429221153259277
enkf_25_obs_20_freq_300_var_pt.pkl,enkf,25,20,300,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.10548710823059082
nudging_25_obs_10_freq_150_var_pst.pkl,nudging,25,10,150,pst,0.08977435568995973,521.7310606227292,2.7248899769253274,0.5619743697193061,0.06457997094370703,278.5161663058102,0.004099607467651367
