Date,Temperature (°C),Humidity (°C),Pressure (hPa),RSSI (dBm),Voltage (V),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Movement counter (Movements),TX power (dBm),Measurement sequence number
2025-12-11 11:59:05,20.13,65.54,1012.93,-44,3.224,-0.372,-0.868,0.436,22,4,24
2025-12-11 11:59:06,20.19,64.32,1012.94,-53,3.245,-0.736,-0.212,-0.632,23,4,25
2025-12-11 11:59:08,20.24,63.98,1012.9,-53,3.245,-0.644,-0.692,-0.38,24,4,26
2025-12-11 12:18:43,18.89,51.5,1012.63,-63,3.252,-0.964,0.376,-0.036,83,4,483
2025-12-11 12:18:45,18.89,51.53,1012.68,-70,3.252,-0.964,0.376,-0.036,83,4,484
2025-12-11 12:18:49,18.86,51.52,1012.68,-65,3.252,-0.964,0.384,-0.028,83,4,485
2025-12-11 12:18:53,18.86,51.55,1012.63,,3.252,-0.96,0.384,-0.028,83,4,487
2025-12-11 12:18:56,18.85,51.55,1012.63,,3.252,-0.964,0.38,-0.04,83,4,488
2025-12-11 12:18:58,18.86,51.57,1012.68,,3.252,-0.964,0.38,-0.04,83,4,489
2025-12-11 12:19:01,18.85,51.55,1012.66,,3.252,-0.956,0.372,-0.036,83,4,490
2025-12-11 12:19:03,18.84,51.56,1012.67,,3.252,-0.964,0.38,-0.028,83,4,491
2025-12-11 12:19:06,18.85,51.57,1012.63,,3.252,-0.964,0.384,-0.028,83,4,492
2025-12-11 12:19:09,18.83,51.58,1012.66,,3.252,-0.96,0.376,-0.024,83,4,493
2025-12-11 12:19:11,18.83,51.58,1012.65,,3.255,-0.964,0.38,-0.036,83,4,494
2025-12-11 12:19:14,18.82,51.6,1012.66,,3.255,-0.964,0.384,-0.028,83,4,495
2025-12-11 12:19:16,18.82,51.61,1012.67,,3.255,-0.96,0.38,-0.028,83,4,496
2025-12-11 12:19:19,18.81,51.63,1012.6,,3.255,-0.956,0.38,-0.024,83,4,497
2025-12-11 12:19:22,18.79,51.63,1012.62,,3.255,-0.956,0.384,-0.028,83,4,498
2025-12-11 12:19:24,18.79,51.66,1012.62,,3.255,-0.964,0.384,-0.024,83,4,499
2025-12-11 12:19:27,18.77,51.67,1012.63,,3.255,-0.964,0.38,-0.036,83,4,500
2025-12-11 12:19:29,18.78,51.65,1012.66,,3.255,-0.96,0.38,-0.036,83,4,501
2025-12-11 12:19:32,18.77,51.69,1012.67,,3.255,-0.968,0.38,-0.032,83,4,502
2025-12-11 12:19:34,18.77,51.71,1012.67,,3.255,-0.968,0.384,-0.032,83,4,503
2025-12-11 12:19:37,18.75,51.71,1012.6,,3.255,-0.96,0.376,-0.036,83,4,504
2025-12-11 12:19:39,18.76,51.7,1012.59,,3.255,-0.96,0.38,-0.036,83,4,505
2025-12-11 12:19:42,18.75,51.72,1012.67,,3.255,-0.968,0.372,-0.04,83,4,506
2025-12-11 12:19:44,18.73,51.75,1012.66,,3.255,-0.968,0.376,-0.032,83,4,507
2025-12-11 12:19:47,18.73,51.75,1012.61,,3.255,-0.956,0.384,-0.04,83,4,508
2025-12-11 12:19:50,18.74,51.75,1012.63,,3.255,-0.96,0.384,-0.024,83,4,509
2025-12-11 12:24:50,18.14,52.95,1012.5,,3.263,-0.96,0.388,-0.032,83,4,626
2025-12-11 12:25:24,18.09,52.8,1012.51,,3.252,-0.96,0.384,-0.032,83,4,639
2025-12-11 12:25:26,18.08,52.8,1012.52,,3.252,-0.968,0.38,-0.036,83,4,640
2025-12-11 12:25:29,18.07,52.81,1012.49,,3.252,-0.964,0.38,-0.032,83,4,641
2025-12-11 12:25:31,18.08,52.81,1012.5,,3.252,-0.96,0.384,-0.044,83,4,642
2025-12-11 12:25:34,18.07,52.81,1012.5,,3.252,-0.964,0.38,-0.036,83,4,643
2025-12-11 12:25:36,18.09,52.81,1012.48,,3.252,-0.96,0.38,-0.04,83,4,644
2025-12-11 12:25:39,18.05,52.81,1012.5,,3.252,-0.96,0.376,-0.036,83,4,645
2025-12-11 12:25:41,18.07,52.84,1012.56,,3.252,-0.964,0.38,-0.04,83,4,646
2025-12-11 12:25:45,18.06,52.85,1012.57,,3.252,-0.972,0.38,-0.036,83,4,647
2025-12-11 12:25:47,18.04,52.85,1012.5,,3.252,-0.964,0.376,-0.04,83,4,648
2025-12-11 12:25:50,18.06,52.86,1012.55,,3.252,-0.968,0.376,-0.032,83,4,649
2025-12-11 12:25:52,18.03,52.88,1012.5,,3.252,-0.964,0.384,-0.032,83,4,650
2025-12-11 12:25:55,18.03,52.88,1012.49,,3.252,-0.968,0.376,-0.028,83,4,651
2025-12-11 12:25:57,18.03,52.87,1012.47,,3.252,-0.964,0.384,-0.028,83,4,652
2025-12-11 12:26:00,18.03,52.89,1012.49,,3.252,-0.956,0.376,-0.036,83,4,653
2025-12-11 12:26:02,18.02,52.89,1012.5,,3.252,-0.96,0.38,-0.04,83,4,654
2025-12-11 12:26:05,18.02,52.9,1012.51,,3.252,-0.964,0.368,-0.036,83,4,655
2025-12-11 12:26:07,18.02,52.93,1012.52,,3.252,-0.968,0.376,-0.028,83,4,656
2025-12-11 12:26:10,18.01,52.92,1012.55,,3.252,-0.968,0.376,-0.032,83,4,657
2025-12-11 12:26:13,18.01,52.9,1012.55,,3.248,-0.96,0.384,-0.032,83,4,658
2025-12-11 12:52:07,17.22,54.46,1012.46,,3.231,-0.964,0.38,-0.044,83,4,1263
2025-12-11 12:53:35,17.21,54.59,1012.41,,3.217,-0.96,0.396,0.016,97,4,1297
2025-12-11 12:53:37,17.21,54.59,1012.42,,3.217,-0.968,0.384,-0.032,98,4,1298
2025-12-11 12:53:40,17.2,54.62,1012.39,,3.217,-0.968,0.384,-0.04,98,4,1299
2025-12-11 12:53:43,17.22,54.6,1012.44,,3.217,-0.968,0.388,-0.04,98,4,1300
2025-12-11 12:53:45,17.21,54.6,1012.45,,3.217,-0.96,0.388,-0.036,100,4,1301
2025-12-11 12:53:48,17.2,54.62,1012.39,,3.217,-0.964,0.38,-0.044,100,4,1302
2025-12-11 12:53:50,17.21,54.61,1012.4,,3.217,-0.96,0.384,-0.044,100,4,1303
2025-12-11 12:53:53,17.21,54.61,1012.4,,3.217,-0.968,0.38,-0.052,102,4,1304
2025-12-11 12:53:55,17.22,54.62,1012.35,,3.217,-0.964,0.376,-0.044,102,4,1305
2025-12-11 12:53:58,17.21,54.63,1012.36,,3.217,-0.892,0.468,0.128,103,4,1306
2025-12-11 12:54:00,17.2,54.63,1012.43,,3.217,-0.964,0.376,-0.048,104,4,1307
2025-12-11 12:54:03,17.21,54.65,1012.45,,3.217,-0.96,0.384,-0.04,104,4,1308
2025-12-11 12:54:06,17.22,54.62,1012.45,,3.217,-0.964,0.372,-0.044,104,4,1309
2025-12-11 12:54:08,17.21,54.62,1012.46,,3.217,-0.964,0.384,-0.044,104,4,1310
2025-12-11 12:54:11,17.21,54.63,1012.41,,3.217,-0.964,0.38,-0.044,104,4,1311
2025-12-11 12:54:13,17.22,54.65,1012.38,,3.217,-0.964,0.392,-0.016,104,4,1312
2025-12-11 12:54:16,17.2,54.59,1012.39,,3.217,-0.964,0.384,-0.048,104,4,1313
2025-12-11 12:54:18,17.22,54.64,1012.43,,3.217,-0.964,0.38,-0.044,104,4,1314
2025-12-11 12:54:21,17.21,54.62,1012.47,,3.217,-0.96,0.384,-0.04,104,4,1315
2025-12-11 12:54:23,17.21,54.64,1012.46,,3.22,-0.964,0.384,-0.032,104,4,1316
2025-12-11 12:54:26,17.2,54.61,1012.44,,3.22,-0.968,0.376,-0.048,104,4,1317
2025-12-11 12:54:28,17.21,54.62,1012.46,,3.22,-0.964,0.376,-0.044,104,4,1318
2025-12-11 12:54:31,17.21,54.63,1012.46,,3.22,-0.96,0.38,-0.044,104,4,1319
2025-12-11 12:57:39,17.2,54.61,1012.37,,3.21,-1,0.404,-0.016,104,4,1392
2025-12-11 12:57:41,17.2,54.69,1012.33,,3.21,-0.948,0.364,-0.08,104,4,1393
2025-12-11 12:57:44,17.2,54.85,1012.31,,3.21,-0.944,0.38,-0.04,104,4,1394
2025-12-11 12:57:46,17.2,55.09,1012.3,,3.21,-0.948,0.372,-0.052,104,4,1395
2025-12-11 12:57:49,17.2,55.23,1012.3,,3.21,-0.96,0.392,-0.052,104,4,1396
2025-12-11 12:57:52,17.2,55.35,1012.28,,3.21,-0.96,0.376,-0.02,104,4,1397
2025-12-11 12:57:55,17.21,55.42,1012.3,,3.21,-0.968,0.368,-0.048,104,4,1398
2025-12-11 12:57:57,17.2,55.46,1012.3,,3.21,-0.968,0.38,-0.052,104,4,1399
2025-12-11 12:58:00,17.2,55.51,1012.3,,3.21,-0.964,0.376,-0.044,104,4,1400
2025-12-11 12:58:02,17.2,55.48,1012.34,,3.21,-0.972,0.376,-0.036,104,4,1401
2025-12-11 12:58:05,17.2,55.41,1012.36,,3.21,-0.964,0.388,-0.048,104,4,1402
2025-12-11 12:58:07,17.21,55.3,1012.32,,3.21,-0.964,0.38,-0.044,104,4,1403
2025-12-11 12:58:10,17.2,55.2,1012.34,,3.21,-0.972,0.38,-0.036,104,4,1404
2025-12-11 12:58:12,17.21,55.18,1012.3,,3.21,-0.964,0.384,-0.044,104,4,1405
2025-12-11 12:58:15,17.21,55.12,1012.32,,3.21,-0.964,0.38,-0.048,104,4,1406
2025-12-11 12:59:27,17.21,54.87,1012.25,,3.21,-0.964,0.38,-0.048,110,4,1434
2025-12-11 13:04:28,17.27,55.37,1011.95,,3.227,-0.952,0.376,-0.04,110,4,1551
2025-12-11 13:09:28,17.3,54.87,1012.1,,3.213,-0.96,0.376,-0.044,111,4,1668
2025-12-11 13:10:53,17.32,54.9,1012.14,,3.213,-0.968,0.38,-0.048,111,4,1701
2025-12-11 13:10:56,17.31,54.92,1012.1,,3.213,-0.96,0.388,-0.044,111,4,1702
2025-12-11 13:10:58,17.3,54.91,1012.12,,3.213,-0.964,0.38,-0.052,111,4,1703
2025-12-11 13:11:01,17.32,54.91,1012.12,,3.213,-0.972,0.38,-0.052,111,4,1704
2025-12-11 13:11:03,17.29,54.89,1012.12,,3.213,-0.96,0.376,-0.044,111,4,1705
2025-12-11 13:11:06,17.32,54.89,1012.13,,3.213,-0.968,0.384,-0.044,111,4,1706
2025-12-11 13:11:09,17.3,54.89,1012.12,,3.213,-0.964,0.376,-0.048,111,4,1707
2025-12-11 13:11:11,17.32,54.88,1012.12,,3.213,-0.956,0.38,-0.052,111,4,1708
2025-12-11 13:11:14,17.31,54.89,1012.1,,3.213,-0.968,0.38,-0.048,111,4,1709
2025-12-11 13:11:16,17.32,54.88,1012.14,,3.213,-0.964,0.376,-0.048,111,4,1710
2025-12-11 13:11:19,17.31,54.91,1012.13,,3.213,-0.968,0.384,-0.048,111,4,1711
2025-12-11 13:11:21,17.3,54.89,1012.12,,3.213,-0.964,0.38,-0.044,111,4,1712
2025-12-11 13:11:24,17.32,54.88,1012.15,,3.213,-0.956,0.376,-0.048,111,4,1713
2025-12-11 13:11:26,17.31,54.91,1012.12,,3.213,-0.964,0.384,-0.048,111,4,1714
2025-12-11 13:11:29,17.32,54.86,1012.12,,3.21,-0.964,0.384,-0.044,111,4,1715
2025-12-11 13:11:31,17.32,54.86,1012.1,,3.21,-0.964,0.384,-0.048,111,4,1716
2025-12-11 13:11:34,17.31,54.87,1012.12,,3.21,-0.964,0.384,-0.048,111,4,1717
2025-12-11 13:11:37,17.31,54.85,1012.13,,3.21,-0.968,0.38,-0.044,111,4,1718
2025-12-11 13:11:39,17.29,54.84,1012.13,,3.21,-0.968,0.38,-0.052,111,4,1719
2025-12-11 13:11:42,17.3,54.86,1012.15,,3.21,-0.96,0.384,-0.052,111,4,1720
2025-12-11 13:11:44,17.3,54.86,1012.13,,3.21,-0.964,0.38,-0.044,111,4,1721
2025-12-11 13:11:47,17.32,54.87,1012.13,,3.21,-0.96,0.38,-0.052,111,4,1722
2025-12-11 13:11:50,17.3,54.88,1012.12,,3.21,-0.968,0.376,-0.044,111,4,1723
2025-12-11 13:11:53,17.31,54.87,1012.12,,3.21,-0.964,0.384,-0.052,111,4,1724
2025-12-11 13:11:55,17.3,54.87,1012.13,,3.21,-0.968,0.384,-0.052,111,4,1725
2025-12-11 13:11:58,17.31,54.88,1012.15,,3.21,-0.96,0.384,-0.052,111,4,1726
2025-12-11 13:12:00,17.3,54.87,1012.19,,3.21,-0.964,0.38,-0.048,111,4,1727
2025-12-11 13:12:03,17.31,54.86,1012.14,,3.21,-0.964,0.388,-0.052,111,4,1728
2025-12-11 13:12:06,17.32,54.85,1012.14,,3.21,-0.96,0.388,-0.048,111,4,1729
2025-12-11 13:12:10,17.32,54.89,1012.16,,3.21,-0.956,0.376,-0.048,111,4,1731
2025-12-11 13:12:13,17.32,54.87,1012.12,,3.21,-0.964,0.384,-0.052,111,4,1732
2025-12-11 13:12:15,17.31,54.91,1012.12,,3.21,-0.96,0.38,-0.044,111,4,1733
2025-12-11 13:12:18,17.31,54.9,1012.12,,3.21,-0.96,0.38,-0.048,111,4,1734
2025-12-11 13:12:20,17.32,54.91,1012.13,,3.21,-0.964,0.376,-0.052,111,4,1735
2025-12-11 13:12:23,17.3,54.88,1012.13,,3.21,-0.968,0.38,-0.056,111,4,1736
2025-12-11 13:12:26,17.31,54.9,1012.13,,3.21,-0.96,0.376,-0.048,111,4,1737
2025-12-11 13:12:28,17.31,54.9,1012.12,,3.21,-0.964,0.388,-0.052,111,4,1738
2025-12-11 13:12:31,17.31,54.91,1012.11,,3.206,-0.968,0.384,-0.048,111,4,1739
2025-12-11 13:12:33,17.3,54.89,1012.12,,3.206,-0.964,0.38,-0.052,111,4,1740
2025-12-11 13:12:36,17.31,54.86,1012.13,,3.206,-0.972,0.384,-0.052,111,4,1741
2025-12-11 13:12:38,17.29,54.9,1012.13,,3.206,-0.964,0.38,-0.052,111,4,1742
2025-12-11 13:17:39,17.39,58.71,1012.27,,3.217,-0.736,0.704,0.068,137,4,1859
2025-12-11 13:22:40,18.86,54.26,1012.4,,3.217,-0.004,-0.268,0.96,1,4,1976
2025-12-11 13:27:41,19.61,51.77,1012.44,,3.248,0.292,-0.052,0.944,12,4,2093
2025-12-11 13:32:41,20.06,50.68,1012.45,,3.224,0.292,-0.052,0.952,12,4,2210
2025-12-11 13:33:40,20.14,50.58,1012.42,,3.263,0.292,-0.052,0.956,12,4,2233
2025-12-11 13:33:43,20.13,50.56,1012.49,,3.263,0.288,-0.044,0.952,12,4,2234
