Date,Temperature (°C),Humidity (°C),Pressure (hPa),RSSI (dBm),Voltage (V),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Movement counter (Movements),TX power (dBm),Measurement sequence number
2025-12-11 11:52:47,18.42,52.48,1012.83,-45,3.182,0.584,0.196,0.804,116,4,32371
2025-12-11 11:52:47,18.42,52.48,1012.83,-52,3.182,0.584,0.196,0.804,116,4,32371
2025-12-11 11:52:48,18.41,52.52,1012.8,-48,3.182,-0.356,-0.636,-0.664,118,4,32372
2025-12-11 11:52:51,18.42,53.79,1012.85,-45,3.182,0.396,-0.52,0.748,118,4,32373
2025-12-11 11:52:53,18.42,55.07,1012.83,-58,3.182,0.868,0.172,-0.504,118,4,32374
2025-12-11 11:52:57,18.46,59.54,1012.76,-44,3.182,0.208,0.44,0.852,119,4,32375
2025-12-11 11:52:58,18.47,61.61,1012.87,-44,3.182,0.184,0.552,0.828,119,4,32376
2025-12-11 11:59:08,20.71,49.92,1012.86,-50,3.171,0,-0.004,-1.012,175,4,32520
2025-12-11 11:59:11,20.7,49.9,1012.89,-54,3.171,0.308,0.44,-1.28,176,4,32521
2025-12-11 11:59:13,20.69,50.03,1012.83,-38,3.171,0.028,0.004,1.004,176,4,32522
2025-12-11 11:59:25,20.69,49.25,1012.87,-40,3.192,0.02,0.004,1,176,4,32526
2025-12-11 11:59:27,20.67,49.17,1012.81,-38,3.192,0.028,0,0.996,176,4,32527
2025-12-11 11:59:36,20.65,49.29,1012.81,-51,3.192,0.028,0.012,1,176,4,32531
2025-12-11 11:59:40,20.65,49.22,1012.86,-51,3.192,0.02,0,1.012,176,4,32532
2025-12-11 11:59:43,20.64,49.13,1012.82,-51,3.192,0.052,0.016,1.036,177,4,32533
2025-12-11 11:59:44,20.64,49.05,1012.81,-53,3.192,0.028,0.004,1,177,4,32534
2025-12-11 11:59:47,20.62,48.98,1012.79,-47,3.192,0.028,0.008,1,177,4,32535
2025-12-11 11:59:49,20.64,48.93,1012.81,-59,3.192,0.02,0.004,1.008,180,4,32536
2025-12-11 11:59:53,20.63,49.23,1012.82,-47,3.192,-0.744,-0.656,-0.224,182,4,32537
2025-12-11 11:59:54,20.6,51.4,1012.81,-52,3.192,-0.044,0.06,-0.392,182,4,32538
2025-12-11 11:59:58,20.61,52.9,1012.81,-41,3.192,0,0,-1.016,183,4,32539
2025-12-11 12:00:02,20.6,52.34,1012.86,-32,3.192,-0.004,-0.004,-1.012,183,4,32541
2025-12-11 12:00:05,20.6,51.94,1012.86,-32,3.192,0.004,0,-1.012,183,4,32542
2025-12-11 12:00:08,20.6,51.57,1012.84,-39,3.192,0,0,-1.012,183,4,32543
2025-12-11 12:00:11,20.63,51.34,1012.87,-45,3.192,0,0,-1.012,185,4,32544
2025-12-11 12:00:15,20.62,51.43,1012.88,-48,3.192,0.02,0.012,1.004,186,4,32546
2025-12-11 12:00:17,20.62,51.21,1012.89,-45,3.192,0.02,0.004,0.992,186,4,32547
2025-12-11 12:00:24,20.64,50.39,1012.86,-42,3.192,0.024,0.016,0.996,186,4,32549
